2024-03-07T06:00:00-08:00 to 2024-03-07T07:00:00-08:00,0.7158450640922197,2024-03-07T06:00:00-08:00 to 2024-03-07T07:00:00-08:00,0.774182,2024-03-07T06:00:00-08:00 to 2024-03-07T07:00:00-08:00,0.83218,-0.05833693590778033
2024-03-07T07:00:00-08:00 to 2024-03-07T08:00:00-08:00,0.6989583875881047,2024-03-07T07:00:00-08:00 to 2024-03-07T08:00:00-08:00,0.755919,2024-03-07T07:00:00-08:00 to 2024-03-07T08:00:00-08:00,0.812549,-0.05696061241189532
2024-03-07T08:00:00-08:00 to 2024-03-07T09:00:00-08:00,0.6958375652990247,2024-03-07T08:00:00-08:00 to 2024-03-07T09:00:00-08:00,0.752544,2024-03-07T08:00:00-08:00 to 2024-03-07T09:00:00-08:00,0.808921,-0.05670643470097525
2024-03-07T09:00:00-08:00 to 2024-03-07T10:00:00-08:00,0.6200019277562214,2024-03-07T09:00:00-08:00 to 2024-03-07T10:00:00-08:00,0.670528,2024-03-07T09:00:00-08:00 to 2024-03-07T10:00:00-08:00,0.720761,-0.050526072243778586
2024-03-07T10:00:00-08:00 to 2024-03-07T11:00:00-08:00,0.5346868355205677,2024-03-07T10:00:00-08:00 to 2024-03-07T11:00:00-08:00,0.578261,2024-03-07T10:00:00-08:00 to 2024-03-07T11:00:00-08:00,0.621581,-0.0435741644794323
2024-03-07T11:00:00-08:00 to 2024-03-07T12:00:00-08:00,0.5306017238748012,2024-03-07T11:00:00-08:00 to 2024-03-07T12:00:00-08:00,0.573843,2024-03-07T11:00:00-08:00 to 2024-03-07T12:00:00-08:00,0.616832,-0.04324127612519879
2024-03-07T12:00:00-08:00 to 2024-03-07T13:00:00-08:00,0.5159954497654908,2024-03-07T12:00:00-08:00 to 2024-03-07T13:00:00-08:00,0.558046,2024-03-07T12:00:00-08:00 to 2024-03-07T13:00:00-08:00,0.599852,-0.04205055023450921
2024-03-07T13:00:00-08:00 to 2024-03-07T14:00:00-08:00,0.5112221744396626,2024-03-07T13:00:00-08:00 to 2024-03-07T14:00:00-08:00,0.552884,2024-03-07T13:00:00-08:00 to 2024-03-07T14:00:00-08:00,0.594303,-0.041661825560337484
2024-03-07T14:00:00-08:00 to 2024-03-07T15:00:00-08:00,0.506378362336628,2024-03-07T14:00:00-08:00 to 2024-03-07T15:00:00-08:00,0.547645,2024-03-07T14:00:00-08:00 to 2024-03-07T15:00:00-08:00,0.588672,-0.04126663766337202
2024-03-07T15:00:00-08:00 to 2024-03-07T16:00:00-08:00,0.540499238003289,2024-03-07T15:00:00-08:00 to 2024-03-07T16:00:00-08:00,0.584547,2024-03-07T15:00:00-08:00 to 2024-03-07T16:00:00-08:00,0.628338,-0.04404776199671101
2024-03-07T16:00:00-08:00 to 2024-03-07T17:00:00-08:00,0.7317941175822504,2024-03-07T16:00:00-08:00 to 2024-03-07T17:00:00-08:00,0.791431,2024-03-07T16:00:00-08:00 to 2024-03-07T17:00:00-08:00,0.850721,-0.05963688241774956
2024-03-07T17:00:00-08:00 to 2024-03-07T18:00:00-08:00,0.8587723594180419,2024-03-07T17:00:00-08:00 to 2024-03-07T18:00:00-08:00,0.928757,2024-03-07T17:00:00-08:00 to 2024-03-07T18:00:00-08:00,0.998335,-0.06998464058195819
2024-03-07T18:00:00-08:00 to 2024-03-07T19:00:00-08:00,1.0750493009924444,2024-03-07T18:00:00-08:00 to 2024-03-07T19:00:00-08:00,1.16266,2024-03-07T18:00:00-08:00 to 2024-03-07T19:00:00-08:00,1.24976,-0.08761069900755558
2024-03-07T19:00:00-08:00 to 2024-03-07T20:00:00-08:00,1.053096879598475,2024-03-07T19:00:00-08:00 to 2024-03-07T20:00:00-08:00,1.13892,2024-03-07T19:00:00-08:00 to 2024-03-07T20:00:00-08:00,1.22424,-0.08582312040152495
2024-03-07T20:00:00-08:00 to 2024-03-07T21:00:00-08:00,1.0444002110916948,2024-03-07T20:00:00-08:00 to 2024-03-07T21:00:00-08:00,1.12951,2024-03-07T20:00:00-08:00 to 2024-03-07T21:00:00-08:00,1.21413,-0.08510978890830523
